loss,accuracy,val_loss,val_accuracy
0.7408720254898071,0.7565414309501648,1.8337105512619019,0.5877121090888977
0.5203393697738647,0.8243703842163086,0.7503451108932495,0.7528027296066284
0.4499605596065521,0.8460659980773926,0.5677021145820618,0.8058858513832092
0.4036729037761688,0.8612754344940186,0.5660507082939148,0.8139530420303345
0.36541780829429626,0.873921275138855,0.7176980376243591,0.7803203463554382
0.340081125497818,0.8823909759521484,1.4498614072799683,0.6286767721176147
0.3191530108451843,0.8892239928245544,1.2358945608139038,0.669220507144928
0.30099329352378845,0.8950469493865967,0.4616166055202484,0.8418813347816467
0.286426305770874,0.9003466367721558,0.30058369040489197,0.8952636122703552
0.27374324202537537,0.9042509198188782,0.48524388670921326,0.8404869437217712
0.2626998722553253,0.9081287980079651,0.48473984003067017,0.8384486436843872
0.252241849899292,0.9116376042366028,0.36703553795814514,0.8737139701843262
0.2433709353208542,0.9143148064613342,0.3961407244205475,0.8634361028671265
0.23438116908073425,0.9175477623939514,0.31653136014938354,0.891912043094635
0.22667083144187927,0.9199551939964294,0.33364495635032654,0.8847473859786987
0.2192806899547577,0.9220807552337646,0.6751106977462769,0.795029878616333
0.21181720495224,0.9248107075691223,0.48083043098449707,0.8430120944976807
0.20578400790691376,0.9267942905426025,0.3960297107696533,0.8716959357261658
0.2005523145198822,0.9282728433609009,0.37822437286376953,0.8745962381362915
0.1940542459487915,0.9306296110153198,0.3114861249923706,0.8963639140129089
0.1882418394088745,0.9324833750724792,0.476447731256485,0.8503034710884094
0.18325871229171753,0.9339801669120789,0.2631325423717499,0.9113929271697998
0.17819905281066895,0.9356716871261597,0.4772910177707672,0.8478899002075195
0.17285799980163574,0.9377303123474121,0.3335394263267517,0.8899244070053101
0.16800850629806519,0.9391663074493408,0.5202952027320862,0.8404210805892944
0.1635042130947113,0.9406042695045471,0.2762225866317749,0.909070611000061
0.1590178906917572,0.9425391554832458,0.27885809540748596,0.9091314673423767
